skill	*Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	passivestat7	passivecalc7	passivestat8	passivecalc8	passivestat9	passivecalc9	passivestat10	passivecalc10	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description2	Param11	*Param11 Description	Param12	*Param12 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
Bash	126	bar	bash	32	2																																																																																		barbarian_grunt_small_1	1																															1	7		h2h		mele										A1	A1	xx				1		1	1								1		1												1	20														1	1		1			1	8	2	0	1											ln12+skill('Stun'.blvl)*par8	Damage %	ln34	Flat Damage	0	Attack Speed %	0	% Damage Dealt as Elemental (Used only if there is an Etype)					50	Damage % baseline	5	Damage % per level	1	Flat Damage baseline	1	Flat Damage per level					5	Attack Rating synergy	5	Damage synergy									1			15+lvl*5+skill('Concentrate'.blvl)*par7	8		112		8	128																																			256	1000	0
Blade Mastery	127	bar	blade mastery																																											blademastery	blde		passive_mastery_melee_th	ln12	passive_mastery_melee_dmg	ln34	passive_mastery_melee_crit	dm56																																																																	1	0		none												SC	SC	xx				1																									1	20														0	0					0	8	0	0	1		1						1															40	Attack Rating % baseline	8	Attack Rating % per level	28	Damage % baseline	5	Damage % per level	0	% chance for Critical Hit Min	35	% chance for Critical Hit Max													1								8																																				256	1000	0
Axe Mastery	128	bar	axe mastery																																											axemastery	axe		passive_mastery_melee_th	ln12	passive_mastery_melee_dmg	ln34	passive_mastery_melee_crit	dm56																																																																	1	0		none												SC	SC	xx				1																									1	20														0	0					0	8	0	0	1		1						1															40	Attack Rating % baseline	8	Attack Rating % per level	28	Damage % baseline	5	Damage % per level	0	% chance for Critical Hit Min	35	% chance for Critical Hit Max													1								8																																				256	1000	0
Mace Mastery	129	bar	mace mastery																																											macemastery	blun		passive_mastery_melee_th	ln12	passive_mastery_melee_dmg	ln34	passive_mastery_melee_crit	dm56																																																																	1	0		none												SC	SC	xx				1																									1	20														0	0					0	8	0	0	1		1						1															40	Attack Rating % baseline	8	Attack Rating % per level	28	Damage % baseline	5	Damage % per level	0	% chance for Critical Hit Min	35	% chance for Critical Hit Max													1								8																																				256	1000	0
Howl	130	bar	howl		22													howl							terror																																																														barbarian_howl_1														25						howl				ln12-par1	Missile Velocity Adder							1	0		none												SC	SC	xx				1																1									1	20														0	1					1	8	4	0	1											ln12-par1	Missile Velocity Adder	ln34	Monster Fear Distance To Run	ln56	Monster Fear Duration							12	"Missile Velocity baseline (Should match howl Missile Vel value, used for negation)"	2	Missile Velocity per level	24	Monster Fear Distance To Run baseline	5	Monster Fear Distance To Run per level	75	Monster Fear Duration baseline	25	Monster Fear Duration per level													1								8																																				256	1000	0
Find Potion	131	bar	find potion	33	69																																																																																1		barbarian_findobject_1							barbarian_findheart_1						26	38																		1	0		h2h												SC	SC	xx				1				1		4	1																		1	20														0	1					1	8	2	0	1											dm12	% chance to find any potion											0	% chance to find any potion Min	100	% chance to find any potion Max	30	% chance to find Mana potion	10	% chance to find Rejuvenation potion																	1								8																																				256	3000	0
Leap	132	bar	leap	40	77													leapknockback									dm12																																																										1		barbarian_leap_1													29	43																		1	0		none												SQ	A1	xx	13		1		4																								6	20														1	1					1	8	2	0	1											ln34	Knockback Radius	par7	Leap Speed %									8	Range Min	30	Range Max	4	Knockback Radius baseline	1	Knockback Radius per level	8	Minimum Airborn Frames			175	Leap Speed %											1								8																																				384	3000	0
Double Swing	133	bar	double swing	68	70																																																																																															27	39										par5	Attack Speed %							1	5		h2h	3	mele					mele					SQ	A1	xx	11		1	1		1	1								1		1												6	20					Bash									1	1					0	5	8	-1	1											skill('Bash'.blvl)*par8	Damage %	0	Flat Damage	par5	Attack Speed %							50	Attack rate bonus							50	Attack Speed %					10	Damage synergy									1	15	5						8	128																																			384	3000	0
Pole Arm Mastery	134	bar	pole arm mastery																																											polearmmastery	pole		passive_mastery_melee_th	ln12	passive_mastery_melee_dmg	ln34	passive_mastery_melee_crit	dm56																																																																	1	0		none												SC	SC	xx				1																									6	20														0	0					0	8	0	0	1								1															44	Attack Rating % baseline	8	Attack Rating % per level	28	Damage % baseline	5	Damage % per level	0	% chance for Critical Hit Min	35	% chance for Critical Hit Max													1								8																																				384	3000	0
Throwing Mastery	135	bar	throwing mastery																																											throwingmastery	thro		passive_mastery_throw_th	ln12	passive_mastery_throw_dmg	ln34	passive_mastery_throw_crit	dm56	skill_pierce	dm78	passive_mastery_noconsume	dm91	passive_mastery_replenish_oncrit	pa11																																																											1	0		none												SC	SC	xx				1																									6	20														0	0					0	8	0	0	1								1															44	Attack Rating % baseline	8	Attack Rating % per level	28	Damage % baseline	5	Damage % per level	0	% chance for Critical Hit Min	35	% chance for Critical Hit Max	0	% chance to Pierce Min	55	% chance to Pierce Max	0	% chance for No Consume Min	66	% chance for No Consume Max	1	"Replenish Quantity on crit? (0=disabled, 1=enabled)"			1								8																																				384	3000	0
Spear Mastery	136	bar	spear mastery																																											spearmastery	spea		passive_mastery_melee_th	ln12	passive_mastery_melee_dmg	ln34	passive_mastery_melee_crit	dm56																																																																	1	0		none												SC	SC	xx				1																									6	20														0	0					0	8	0	0	1								1															44	Attack Rating % baseline	8	Attack Rating % per level	28	Damage % baseline	5	Damage % per level	0	% chance for Critical Hit Min	35	% chance for Critical Hit Max													1								8																																				384	3000	0
Taunt	137	bar	taunt		71																		34179		taunt			item_tohit_percent	ln12	damagepercent	ln34																																																								barbarian_taunt_1																																1	0		none												SC	SC	S1				1				1												1									6	20					Howl									0	1					1	8	3	0	1																							-5	Monster Attack Rating % baseline	-2	Monster Attack Rating % per level	-5	Monster Damage % baseline	-2	Monster Damage % per level																	1								8																																		2		384	3000	0
Shout	138	bar	shout		68													shout						shout	shout	ln34+(skill('Battle Orders'.blvl)+skill('Battle Command'.blvl))*par8		skill_armor_percent	ln12																																																										barbarian_shout_1														25						shout				0	Missile Velocity Adder							1	8		none												SC	SC	SC				1																									6	20					Howl									0	1					1	8	6	0	1																							100	Armor % baseline	10	Armor % per level	7500	Duration baseline	250	Duration per level							125	Duration synergy									1								8																																				384	3000	0
Stun	139	bar	stun	32	2																																																																																		barbarian_grunt_small_1	1																															1	0		h2h		mele										A1	A1	xx				1		1	1								1		1			1									12	20					Bash									1	1					1	8	2	0	1											skill('Bash'.blvl)*par8	Damage %	0	Flat Damage	0	Attack Speed %	0	% Damage Dealt as Elemental (Used only if there is an Etype)					30	Stun Length baseline	5	Stun Length per level							5	Duration synergy	5	Attack Rating synergy	8	Damage synergy									1			10+lvl*5+skill('Concentrate'.blvl)*par7			96		8	128														stun														30	5	5	2	skill('War Cry'.blvl)*par6			512	8000	0
Double Throw	140	bar	double throw		74																																																																																															11	42																		1	5		rng	3	thro					thro					SQ	A1	xx	15		1	1													1												12	20					Double Swing									1	1					1	8	1	0	1											ln12+skill('Double Swing'.blvl)*par8	Damage %											16	Damage % baseline	8	Damage % per level											8	Damage synergy									1	20	10						8	128																																			512	8000	0
Increased Stamina	141	bar	increased stamina																																											increasedstamina			skill_passive_staminapercent	ln12																																																																					1	0		none												SC	SC	xx				1																									12	20														0	0					0	8	0	0	1								1															30	Stamina % baseline	15	Stamina % per level																					1								8																																				512	8000	0
Find Item	142	bar	find item	34	72																																																																																1		barbarian_findobject_1			barbarian_findheart_1										28	40																		1	0		h2h												SC	SC	xx				1				1		5	1																		12	20					Find Potion									0	1					1	8	7	0	1											dm12+skill('Find Potion'.blvl)*par8	% chance to find any item											5	% chance to find any item Min	60	% chance to find any item Max	30	% chance for high quality item	5	% chance for magic item							1	% chance synergy									1								8																																				512	8000	0
Leap Attack	143	bar	leap attack	41	78													leapattack				bash																																																															1		barbarian_leapattack_1													30	44						leapattack												1	6		none		mele										SQ	A1	xx	14		1		4	1											1												18	20					Leap									1	1		1			1	8	10	0	1											ln34+skill('Leap'.blvl)*par8	Damage %	par7	Leap Speed %			0	% Damage Dealt as Elemental									200	Damage % baseline	30	Damage % per level	12	Minimum Airborn Frames			175	Leap Speed %	10	Damage synergy									1	100	20						8	128	10	4	8	12	16	20	20	8	16	24	32	40	skill('Leap'.blvl)*par8																						640	16000	0
Concentrate	144	bar	concentrate	32	2																	doubledamage1		concentrate				skill_armor_percent	ln34																																																										barbarian_grunt_small_1	1																															1	0		h2h		mele										A1	A1	xx				1		1	1								1		1												18	20					Stun									1	1					1	8	2	0												ln12+skill('Bash'.blvl)*par8+skill('Battle Orders'.blvl)*par7	Damage %	0	Flat Damage	0	Attack Speed %	skill('Berserk'.blvl)	% Damage Dealt as Elemental (Used only if there is an Etype)					70	Damage % baseline	5	Damage % per level	100	Armor % baseline	10	Armor % per level					10	Damage synergy	5	Damage synergy									1	60	10						8	128														mag																					640	16000	0
Iron Skin	145	bar	iron skin																																											ironskin			skill_armor_percent	ln12																																																																					1	0		none												SC	SC	xx				1																									18	20														0	0					0	8	0	0	1								1															30	Armor % baseline	10	Armor % per level																					1								8																																				640	16000	0
Battle Cry	146	bar	battle cry		68													battlecry					98304		battlecry	ln12		skill_armor_percent	ln34	damagepercent	ln56																																																								barbarian_battlecry_1														25						battlecry				0	Missile Velocity Adder							1	9		none												SC	SC	xx				1																									18	20					Taunt									0	1					1	8	5	0	1																							300	Duration baseline	60	Duration per level	-50	Enemy Armor % baseline	-2	Enemy Armor % per level	-25	Enemy Damage % baseline	-1	Enemy Damage % per level													1								8																																				640	16000	0
Frenzy	147	bar	frenzy	67	9																			frenzy		par7+skill('Increased Stamina'.blvl)*10		velocitypercent	dm34	attackrate	dm56																																																																						39																		1	3		h2h	3	mele					mele					SQ	A1	xx	11			1		1	1								1		1												24	20					Double Throw									1	1					1	7	3	0												ln12+(skill('Double Swing'.blvl) + skill('Taunt'.blvl))*par8	Damage %					skill('Berserk'.blvl)	% Damage Dealt as Elemental (Used only if there is an Etype)					90	Damage % base	5	Damage % per level	20	Velocity % Min	200	Velocity % Max	0	Attack Speed % Min	50	Attack Speed % Max	150	Duration	8	Damage synergy									1	100	7						8	128														mag																					768	32000	0
