description	enabled	firstLadderSeason	lastLadderSeason	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
1 Magic Gauntlets + 1 Jewel + 1 Ral Rune + 1 Perfect Emerald -> Safety Gloves	1				100					4	glov,mag,eth	jew	r08	gpg				usetype,crf		50	50	red-dmg			3	5	red-mag			3	5	res-cold			10	20	ac%			10	30	ethereal	100		1	1																																																											0
1 Magic Sash + 1 Jewel + 1 Tal Rune + 1 Perfect Emerald -> Safety Belt	1				100					4	belt,mag,noe	jew	r07	gpg				usetype,crf		50	50	red-dmg			3	5	red-mag			3	5	res-pois-len			75	100	ac%			10	30																																																																0
1 Magic Sash + 1 Jewel + 1 Tal Rune + 1 Perfect Emerald + 1 Eth Rune + 1 Chasi's Malus -> Safety Belt	1				100					6	belt,mag,noe	jew	r07	gpg	r05	mls		usetype,crf		50	50	red-dmg			3	5	red-mag			3	5	res-pois-len			75	100	ac%			10	30	ethereal	100		1	1																																																											0
1 Magic Sash + 1 Jewel + 1 Tal Rune + 1 Perfect Emerald -> Safety Belt	1				100					4	belt,mag,eth	jew	r07	gpg				usetype,crf		50	50	red-dmg			3	5	red-mag			3	5	res-pois-len			75	100	ac%			10	30	ethereal	100		1	1																																																											0
1 Magic Kite Shield + 1 Jewel + 1 Nef Rune + 1 Perfect Emerald -> Safety Shield	1				100					4	shld,mag,noe	jew	r04	gpg				usetype,crf		50	50	red-dmg%			5	10	res-mag			10	20	ac%			50	60																																																																					0
1 Magic Kite Shield + 1 Jewel + 1 Nef Rune + 1 Perfect Emerald + 1 Eth Rune + 1 Chasi's Malus -> Safety Shield	1				100					6	shld,mag,noe	jew	r04	gpg	r05	mls		usetype,crf		50	50	red-dmg%			5	10	res-mag			10	20	ac%			50	60	ethereal	100		1	1																																																																0
1 Magic Kite Shield + 1 Jewel + 1 Nef Rune + 1 Perfect Emerald -> Safety Shield	1				100					4	shld,mag,eth	jew	r04	gpg				usetype,crf		50	50	red-dmg%			5	10	res-mag			10	20	ac%			50	60	ethereal	100		1	1																																																																0
1 Magic Breast Plate + 1 Jewel + 1 Eth Rune + 1 Perfect Emerald -> Safety Body	1				100					4	tors,mag,noe	jew	r05	gpg				usetype,crf		50	50	red-dmg%			5	10	ac			25	50	half-freeze			1	1	ac%			50	60																																																																0
1 Magic Breast Plate + 1 Jewel + 1 Eth Rune + 1 Perfect Emerald + 1 Eth Rune + 1 Chasi's Malus -> Safety Body	1				100					6	tors,mag,noe	jew	105,qty=2	gpg	mls			usetype,crf		50	50	red-dmg%			5	10	ac			25	50	half-freeze			1	1	ac%			50	60	ethereal	100		1	1																																																											0
1 Magic Breast Plate + 1 Jewel + 1 Eth Rune + 1 Perfect Emerald -> Safety Body	1				100					4	tors,mag,eth	jew	r05	gpg				usetype,crf		50	50	red-dmg%			5	10	ac			25	50	half-freeze			1	1	ac%			50	60	ethereal	100		1	1																																																											0
1 Magic Amulet + 1 Jewel + 1 Thul Rune + 1 Perfect Emerald -> Safety Amulet	1				100					4	amul,mag	jew	r10	gpg				usetype,crf		50	50	red-dmg			3	5	red-mag			3	5	block			10	10	ac%			10	20																																																																0
1 Magic Ring + 1 Jewel + 1 Amn Rune + 1 Perfect Emerald -> Safety Ring	1				100					4	ring,mag	jew	r11	gpg				usetype,crf		50	50	red-dmg			3	5	red-mag			3	5	vit			5	10	ac%			10	20																																																																0
1 Magic Spear + 1 Jewel + 1 Sol Rune + 1 Perfect Emerald -> Safety Weapon	1				100					4	weap,mag,noe	jew	r12	gpg				usetype,crf		50	50	red-dmg			3	5	red-mag			3	5	swing3			10	20	dmg%			30	50																																																																0
1 Magic Spear + 1 Jewel + 1 Sol Rune + 1 Perfect Emerald + 1 Eth Rune + 1 Chasi's Malus -> Safety Weapon	1				100					6	weap,mag,noe	jew	r12	gpg	r05	mls		usetype,crf		50	50	red-dmg			3	5	red-mag			3	5	swing3			10	20	dmg%			30	50	ethereal	100		1	1																																																											0
1 Magic Spear + 1 Jewel + 1 Sol Rune + 1 Perfect Emerald -> Safety Weapon	1				100					4	weap,mag,eth	jew	r12	gpg				usetype,crf		50	50	red-dmg			3	5	red-mag			3	5	swing3			10	20	dmg%			30	50	ethereal	100		1	1																																																											0
-------------------------------------------------TABLET CRAFTING -----------------------------------------------------------------------------------------------------------------------------------------																																																																																																									0
1 Magic Full Helm + Power Crafting Tablet  -> Hit Power Helm	1				100					2	helm,mag,noe	pct						usetype,crf		50	50	gethit-skill		44	5	4	balance1			20	20	att			150	200																																																																					0
1 Magic Full Helm + Power Crafting Tablet  + 1 Eth Rune + 1 Chasi's Malus  -> Hit Power Helm	1				100					4	helm,mag,noe	pct	r05	mls				usetype,crf		50	50	gethit-skill		44	5	4	balance1			20	20	att			150	200	ethereal	100		1	1																																																																0
1 Magic Full Helm + Power Crafting Tablet  -> Hit Power Helm	1				100					2	helm,mag,eth	pct						usetype,crf		50	50	gethit-skill		44	5	4	balance1			20	20	att			150	200	ethereal	100		1	1																																																																0
1 Magic Chain Boots + Power Crafting Tablet -> Hit Power Boots	1				100					2	boot,mag,noe	pct						usetype,crf		50	50	gethit-skill		44	5	4	balance1			10	10	dex			10	15																																																																					0
1 Magic Chain Boots + Power Crafting Tablet  + 1 Eth Rune + 1 Chasi's Malus -> Hit Power Boots	1				100					4	boot,mag,noe	pct	r05	mls				usetype,crf		50	50	gethit-skill		44	5	4	balance1			10	10	dex			10	15	ethereal	100		1	1																																																																0
1 Magic Chain Boots + Power Crafting Tablet -> Hit Power Boots	1				100					2	boot,mag,eth	pct						usetype,crf		50	50	gethit-skill		44	5	4	balance1			10	10	dex			10	15	ethereal	100		1	1																																																																0
1 Magic Chain Gloves +  Power Crafting Tablet  -> Hit Power Gloves	1				100					2	glov,mag,noe	pct						usetype,crf		50	50	gethit-skill		44	5	4	reduce-ac			15	20	knock			1	1																																																																					0
1 Magic Chain Gloves +  Power Crafting Tablet + 1 Eth Rune + 1 Chasi's Malus  -> Hit Power Gloves	1				100					4	glov,mag,noe	pct	r05	mls				usetype,crf		50	50	gethit-skill		44	5	4	reduce-ac			15	20	knock			1	1	ethereal	100		1	1																																																																0
1 Magic Chain Gloves +  Power Crafting Tablet  -> Hit Power Gloves	1				100					2	glov,mag,eth	pct						usetype,crf		50	50	gethit-skill		44	5	4	reduce-ac			15	20	knock			1	1	ethereal	100		1	1																																																																0
1 Magic Heavy Belt + Power Crafting Tablet -> Hit Power Belt	1				100					2	belt,mag,noe	pct						usetype,crf		50	50	gethit-skill		44	5	4	balance1			20	20	dmg-to-mana			20	20																																																																					0
1 Magic Heavy Belt + Power Crafting Tablet + 1 Eth Rune + 1 Chasi's Malus -> Hit Power Belt	1				100					4	belt,mag,noe	pct	r05	mls				usetype,crf		50	50	gethit-skill		44	5	4	balance1			20	20	dmg-to-mana			20	20	ethereal	100		1	1																																																																0
1 Magic Heavy Belt + Power Crafting Tablet -> Hit Power Belt	1				100					2	belt,mag,eth	pct						usetype,crf		50	50	gethit-skill		44	5	4	balance1			20	20	dmg-to-mana			20	20	ethereal	100		1	1																																																																0
1 Magic Gothic Shield + Power Crafting Tablet -> Hit Power Shield	1				100					2	shld,mag,noe	pct						usetype,crf		50	50	gethit-skill		44	5	4	block1			30	30	block			20	20																																																																					0
1 Magic Gothic Shield + Power Crafting Tablet + 1 Eth Rune + 1 Chasi's Malus -> Hit Power Shield	1				100					4	shld,mag,noe	pct	r05	mls				usetype,crf		50	50	gethit-skill		44	5	4	block1			30	30	block			20	20	ethereal	100		1	1																																																																0
1 Magic Gothic Shield + Power Crafting Tablet -> Hit Power Shield	1				100					2	shld,mag,eth	pct						usetype,crf		50	50	gethit-skill		44	5	4	block1			30	30	block			20	20	ethereal	100		1	1																																																																0
1 Magic Field Plate + Power Crafting Tablet -> Hit Power Body	1				100					2	tors,mag,noe	pct						usetype,crf		50	50	gethit-skill		44	5	4	dmg%			35	60	balance1			30	40																																																																					0
1 Magic Field Plate + Power Crafting Tablet + 1 Eth Rune + 1 Chasi's Malus -> Hit Power Body	1				100					4	tors,mag,noe	pct	r05	mls				usetype,crf		50	50	gethit-skill		44	5	4	dmg%			35	60	balance1			30	40	ethereal	100		1	1																																																																0
1 Magic Field Plate + Power Crafting Tablet -> Hit Power Body	1				100					2	tors,mag,eth	pct						usetype,crf		50	50	gethit-skill		44	5	4	dmg%			35	60	balance1			30	40	ethereal	100		1	1																																																																0
1 Magic Amulet + Power Crafting Tablet -> Hit Power Amulet	1				100					2	amul,mag	pct						usetype,crf		50	50	gethit-skill		44	5	4	att			200	250	balance1			15	20																																																																					0
1 Magic Ring + Power Crafting Tablet  -> Hit Power Ring	1				100					2	ring,mag	pct						usetype,crf		50	50	gethit-skill		44	5	4	dmg-max			3	5	dex			5	10																																																																					0
1 Magic Blunt Weapon + Power Crafting Tablet -> Hit Power Weapon	1				100					2	weap,mag,noe	pct						usetype,crf		50	50	gethit-skill		44	5	4	reduce-ac			15	20	dmg%			50	80																																																																					0
1 Magic Blunt Weapon + Power Crafting Tablet + 1 Eth Rune + 1 Chasi's Malus -> Hit Power Weapon	1				100					4	weap,mag,noe	pct	r05	mls				usetype,crf		50	50	gethit-skill		44	5	4	reduce-ac			15	20	dmg%			50	80	ethereal	100		1	1																																																																0
1 Magic Blunt Weapon + Power Crafting Tablet -> Hit Power Weapon	1				100					2	weap,mag,eth	pct						usetype,crf		50	50	gethit-skill		44	5	4	reduce-ac			15	20	dmg%			50	80	ethereal	100		1	1																																																																0
1 Magic Helm + Blood Crafting Tablet -> Blood Helm	1				100					2	helm,mag,noe	bct						usetype,crf		50	50	lifesteal			2	4	hp			30	40	deadly			15	20																																																																					0
1 Magic Helm + Blood Crafting Tablet + 1 Eth Rune + 1 Chasi's Malus -> Blood Helm	1				100					4	helm,mag,noe	bct	r05	mls				usetype,crf		50	50	lifesteal			2	4	hp			30	40	deadly			15	20	ethereal	100		1	1																																																																0
1 Magic Helm + Blood Crafting Tablet -> Blood Helm	1				100					2	helm,mag,eth	bct						usetype,crf		50	50	lifesteal			2	4	hp			30	40	deadly			15	20	ethereal	100		1	1																																																																0
1 Magic Light Plated Boots + Blood Crafting Tablet -> Blood Boots	1				100					2	boot,mag,noe	bct						usetype,crf		50	50	lifesteal			2	4	hp			30	40	heal-kill			3	6																																																																					0
1 Magic Light Plated Boots + Blood Crafting Tablet + 1 Eth Rune + 1 Chasi's Malus -> Blood Boots	1				100					4	boot,mag,noe	bct	r05	mls				usetype,crf		50	50	lifesteal			2	4	hp			30	40	heal-kill			3	6	ethereal	100		1	1																																																																0
1 Magic Light Plated Boots + Blood Crafting Tablet -> Blood Boots	1				100					2	boot,mag,eth	bct						usetype,crf		50	50	lifesteal			2	4	hp			30	40	heal-kill			3	6	ethereal	100		1	1																																																																0
1 Magic Heavy Gloves + Blood Crafting Tablet -> Blood Gloves	1				100					2	glov,mag,noe	bct						usetype,crf		50	50	lifesteal			2	4	hp			30	40	crush			5	10																																																																					0
1 Magic Heavy Gloves + Blood Crafting Tablet + 1 Eth Rune + 1 Chasi's Malus -> Blood Gloves	1				100					4	glov,mag,noe	bct	r05	mls				usetype,crf		50	50	lifesteal			2	4	hp			30	40	crush			5	10	ethereal	100		1	1																																																																0
1 Magic Heavy Gloves + Blood Crafting Tablet -> Blood Gloves	1				100					2	glov,mag,eth	bct						usetype,crf		50	50	lifesteal			2	4	hp			30	40	crush			5	10	ethereal	100		1	1																																																																0
1 Magic Belt + Blood Crafting Tablet -> Blood Belt	1				100					2	belt,mag,noe	bct						usetype,crf		50	50	lifesteal			2	4	hp			30	40	openwounds			15	20																																																																					0
1 Magic Belt + Blood Crafting Tablet + 1 Eth Rune + 1 Chasi's Malus -> Blood Belt	1				100					4	belt,mag,noe	bct	r05	mls				usetype,crf		50	50	lifesteal			2	4	hp			30	40	openwounds			15	20	ethereal	100		1	1																																																																0
1 Magic Belt + Blood Crafting Tablet -> Blood Belt	1				100					2	belt,mag,eth	bct						usetype,crf		50	50	lifesteal			2	4	hp			30	40	openwounds			15	20	ethereal	100		1	1																																																																0
1 Magic Spiked Shield + Blood Crafting Tablet  -> Blood Shield	1				100					2	shld,mag,noe	bct						usetype,crf		50	50	lifesteal			3	6	hp			50	60	block			20	20																																																																					0
1 Magic Spiked Shield + Blood Crafting Tablet  + 1 Eth Rune + 1 Chasi's Malus -> Blood Shield	1				100					4	shld,mag,noe	bct	r05	mls				usetype,crf		50	50	lifesteal			3	6	hp			50	60	block			20	20	ethereal	100		1	1																																																																0
1 Magic Spiked Shield + Blood Crafting Tablet  -> Blood Shield	1				100					2	shld,mag,eth	bct						usetype,crf		50	50	lifesteal			3	6	hp			50	60	block			20	20	ethereal	100		1	1																																																																0
1 Magic Plate Mail + Blood Crafting Tablet  -> Blood Body	1				100					2	tors,mag,noe	bct						usetype,crf		50	50	lifesteal			3	6	hp			50	60	heal-kill			3	6																																																																					0
1 Magic Plate Mail + Blood Crafting Tablet + 1 Eth Rune + 1 Chasi's Malus  -> Blood Body	1				100					4	tors,mag,noe	bct	r05	mls				usetype,crf		50	50	lifesteal			3	6	hp			50	60	heal-kill			3	6	ethereal	100		1	1																																																																0
1 Magic Plate Mail + Blood Crafting Tablet  -> Blood Body	1				100					2	tors,mag,eth	bct						usetype,crf		50	50	lifesteal			3	6	hp			50	60	heal-kill			3	6	ethereal	100		1	1																																																																0
1 Magic Amulet + Blood Crafting Tablet -> Blood Amulet	1				100					2	amul,mag	bct						usetype,crf		50	50	lifesteal			2	4	hp			30	40	move1			10	10																																																																					0
1 Magic Ring + Blood Crafting Tablet -> Blood Ring	1				100					2	ring,mag	bct						usetype,crf		50	50	lifesteal			2	4	hp			30	40	str			5	10																																																																					0
1 Magic Axe + Blood Crafting Tablet -> Blood Weapon	1				100					2	weap,mag,noe	bct						usetype,crf		50	50	lifesteal			3	6	hp			30	40	dmg%			50	80																																																																					0
1 Magic Axe + Blood Crafting Tablet + 1 Eth Rune + 1 Chasi's Malus -> Blood Weapon	1				100					4	weap,mag,noe	bct	r05	mls				usetype,crf		50	50	lifesteal			3	6	hp			30	40	dmg%			50	80	ethereal	100		1	1																																																																0
1 Magic Axe + Blood Crafting Tablet -> Blood Weapon	1				100					2	weap,mag,eth	bct						usetype,crf		50	50	lifesteal			3	6	hp			30	40	dmg%			50	80	ethereal	100		1	1																																																																0
1 Magic Mask + Caster Crafting Tablet -> Caster Helm	1				100					2	helm,mag,noe	cct						usetype,crf		50	50	regen-mana			4	10	mana			10	20	cast1			10	10																																																																					0
1 Magic Mask + Caster Crafting Tablet + 1 Eth Rune + 1 Chasi's Malus -> Caster Helm	1				100					4	helm,mag,noe	cct	r05	mls				usetype,crf		50	50	regen-mana			4	10	mana			10	20	cast1			10	10	ethereal	100		1	1																																																																0
